EDUCATIONORGANIZATIONCATEGORYDESCRIPTOR,GRADELEVELDESCRIPTOR,SCHOOLID,SCHOOLYEAR,LOCALEDUCATIONAGENCYID,SCHOOLYEAR,ADDRESSTYPEDESCRIPTOR,STATEABBREVIATIONDESCRIPTOR,CITY,POSTALCODE,STREETNUMBERNAME,LOCALEDESCRIPTOR,APARTMENTROOMSUITENUMBER,BUILDINGSITENUMBER,CONGRESSIONALDISTRICT,COUNTYFIPSCODE,DONOTPUBLISHINDICATOR,LATITUDE,LONGITUDE,NAMEOFCOUNTY,BEGINDATE,ENDDATE,ADMINISTRATIVEFUNDINGCONTROLDESCRIPTOR,CHARTERAPPROVALAGENCYTYPEDESCRIPTOR,CHARTERSTATUSDESCRIPTOR,EDUCATIONORGANIZATIONIDENTIFICATIONSYSTEMDESCRIPTOR,IDENTIFICATIONCODE,INDICATORDESCRIPTOR,INDICATORGROUPDESCRIPTOR,INDICATORLEVELDESCRIPTOR,DESIGNATEDBY,INDICATORVALUE,BEGINDATE,ENDDATE,INSTITUTIONTELEPHONENUMBERTYPEDESCRIPTOR,TELEPHONENUMBER,INTERNATIONALADDRESSES_ADDRESSTYPEDESCRIPTOR,INTERNATIONALADDRESSES_COUNTRYDESCRIPTOR,INTERNATIONALADDRESSES_ADDRESSLINE1,INTERNATIONALADDRESSES_ADDRESSLINE2,ADDRESSLINE3,ADDRESSLINE4,BEGINDATE,ENDDATE,INTERNATIONALADDRESSES_LATITUDE,INTERNATIONALADDRESSES_LONGITUDE,INTERNETACCESSDESCRIPTOR,MAGNETSPECIALPROGRAMEMPHASISSCHOOLDESCRIPTOR,NAMEOFINSTITUTION,OPERATIONALSTATUSDESCRIPTOR,SCHOOLCATEGORYDESCRIPTOR,SCHOOLTYPEDESCRIPTOR,SHORTNAMEOFINSTITUTION,TITLEIPARTASCHOOLDESIGNATIONDESCRIPTOR,WEBSITE,POSTSECONDARYINSTITUTIONID,TX_PKFULLDAYWAIVER,TX_ADDITIONALDAYSPROGRAM,TX_NUMBEROFBULLYINGINCIDENTS,TX_NUMBEROFCYBERBULLYINGINCIDENTS,TX_CAMPUSENROLLMENTTYPE,TX_BEGINDATE,TX_ENDDATE,TX_NSLPTYPE,TX_BEGINDATE,TX_ENDDATE,TX_NUMBERCHARTERSTUDENTSENROLLED,TX_CHARTEREDUCATIONALENROLLMENTCAPACITY,TX_CHARTERADMISSIONWAITLIST,TX_BEGINDATE,TX_ENDDATE,TX_ELOTYPE,TX_BEGINDATE,TX_ENDDATE,TX_ELOACTIVITY,TX_ELODAYSSCHEDULEDPERYEAR,TX_ELOMINUTESSCHEDULEDPERDAY
,09-Dec,15,2022,227901,2022,Campus,TX,Austin,78702,1600 Chicon St,,,,,,N,30.277711,-97.721271,,,,,,,,,,,,,,,,Work,(512) 414-8600,,,,,,,,,,,,,Garza Independence High,,,CAMPUS,Garza Independence High,N,,,,,,,,,,,,,,,,,,,,,,,
,09-Dec,17,2022,227901,2022,Campus,TX,Austin,78748,10701 S 1st St,,,,,,N,30.148789,-97.800975,,,,,,,,,,,,,,,,Work,(512) 841-9900,,,,,,,,,,,,,Akins High,,,CAMPUS,Akins High,N,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,18,2022,227901,2022,Campus,TX,Austin,78721,1012 Arthur Stiles Rd,,,,,,N,30.3124,-97.655811,,,,,,,,,,,,,,,,Work,(512) 414-5272,,,,,,,,,,,,,LASA High,,,CAMPUS,LASA High,N,,,,,,,,,,,,,,,,,,,,,,,
,09-Dec,19,2022,227901,2022,Campus,TX,Austin,78702,900 Thompson St,,,,,,N,30.259249,-97.680739,,,,,,,,,,,,,,,,Work,(512) 414-5810,,,,,,,,,,,,,Eastside Early College High Schl,,,CAMPUS,Eastside Early College High Schl,Y,,,N,,,,,,,,,,,,,,,,,,,,
,EE-12,21,2022,227901,2022,Campus,TX,Austin,78702,900 Thompson St,,,,,,N,30.259249,-97.680739,,,,,,,,,,,,,,,,Work,(512) 414-5810,,,,,,,,,,,,,DO NOT USE,,,CAMPUS,DO NOT USE,N,,,,,,,,,,,,,,,,,,,,,,,
,09-Dec,23,2022,227901,2022,Campus,TX,Austin,78704,1211 E Oltorf St,,,,,,N,30.234663,-97.74396,,,,,,,,,,,,,,,,Work,(512) 414-6635,,,,,,,,,,,,,Graduation Preparatory Academy,,,CAMPUS,Graduation Preparatory Academy,N,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,26,2022,227901,2022,Campus,TX,Austin,78758,1201 Payton Gin Rd,,,,,,N,30.359683,-97.70739,,,,,,,,,,,,,,,,Work,(512) 414-2896,,,,,,,,,,,,,Graduation Prep Academy at Navarro,,,CAMPUS,Graduation Prep Academy at Navarro,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Dec,27,2022,227901,2022,Campus,TX,Austin,78754,8011B Cameron Rd,,,,,,N,30.3360964,-97.68392128,,,,,,,,,,,,,,,,Work,(512) 650-2100,,,,,,,,,,,,,Travis County Day School,,,CAMPUS,Travis County Day School,N,,,,,,,,,,,,,,,,,,,,,,,
,06-Dec,28,2022,227901,2022,Campus,TX,Austin,78704,2309 Panther Trail,,,,,,N,30.23567899,-97.788641,,,,,,,,,,,,,,,,Work,(512) 414-3236,,,,,,,,,,,,,Richards Sch Young Women Leaders,,,CAMPUS,Richards Sch Young Women Leaders,N,,,,,,,,,,,,,,,,,,,,,,,
,09-Oct,29,2022,227901,2022,Campus,TX,Austin,78702,900 Thompson St,,,,,,N,30.259249,-97.680739,,,,,,,,,,,,,,,,Work,(512) 414-6817,,,,,,,,,,,,,International High,,,CAMPUS,International High,N,,,,,,,,,,,,,,,,,,,,,,,
,PK-12,30,2022,227901,2022,Campus,TX,Austin,78702,901 Neal St,,,,,,N,30.269331,-97.709045,,,,,,,,,,,,,,,,Work,(512) 854-5695,,,,,,,,,,,,,Travis County Juvenile Deten Ctr,,,CAMPUS,Travis County Juvenile Deten Ctr,N,,,,,,,,,,,,,,,,,,,,,,,
,06-Dec,31,2022,227901,2022,Campus,TX,Austin,78751,3908 Avenue B,,,,,,N,30.304119,-97.735832,,,,,,,,,,,,,,,,Work,(512) 414-0112,,,,,,,,,,,,,Virtual School Program,,,CAMPUS,Virtual School Program,N,,,,,,,,,,,,,,,,,,,,,,,
,06-Dec,32,2022,227901,2022,Campus,TX,Austin,78704,400 W Live Oak St,,,,,,N,30.243887,-97.755814,,,,,,,,,,,,,,,,Work,(512) 440-0613,,,,,,,,,,,,,Phoenix Academy,,,CAMPUS,Phoenix Academy,N,,,,,,,,,,,,,,,,,,,,,,,
,EE-12,33,2022,227901,2022,Campus,TX,Austin,78702,900 Chicon St,,,,,,N,30.264681,-97.722331,,,,,,,,,,,,,,,,Work,(512) 505-3058,,,,,,,,,,,,,H. T.,,,CAMPUS,H. T.,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Dec,35,2022,227901,2022,Campus,TX,Austin,78702,901 Neal St,,,,,,N,30.269331,-97.709045,,,,,,,,,,,,,,,,Work,(512) 854-7077,,,,,,,,,,,,,Leadership Academy,,,CAMPUS,Leadership Academy,N,,,,,,,,,,,,,,,,,,,,,,,
,KG-12,36,2022,227901,2022,Campus,TX,Austin,78702,4900 Gonzales St,,,,,,N,30.25668,-97.697033,,,,,,,,,,,,,,,,Work,(512) 414-2554,,,,,,,,,,,,,JJAEP (Juvenile Justice Educ Pro,,,CAMPUS,JJAEP (Juvenile Justice Educ Pro,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,43,2022,227901,2022,Campus,TX,Austin,78704,201 E Mary St,,,,,,N,30.243927,-97.750467,,,,,,,,,,,,,,,,Work,(512) 414-3207,,,,,,,,,,,,,Lively Middle,,,CAMPUS,Lively Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,44,2022,227901,2022,Campus,TX,Austin,78702,1607 Pennsylvania Ave,,,,,,N,30.270937,-97.721778,,,,,,,,,,,,,,,,Work,(512) 414-3214,,,,,,,,,,,,,Kealing Middle,,,CAMPUS,Kealing Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,45,2022,227901,2022,Campus,TX,Austin,78757,6201 Wynona Ave,,,,,,N,30.337408,-97.740517,,,,,,,,,,,,,,,,Work,(512) 414-3217,,,,,,,,,,,,,Lamar Middle,,,CAMPUS,Lamar Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,46,2022,227901,2022,Campus,TX,Austin,78757,8401 Hathaway Dr,,,,,,N,30.364779,-97.724999,,,,,,,,,,,,,,,,Work,(512) 414-3225,,,,,,,,,,,,,Burnet Middle,,,CAMPUS,Burnet Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,47,2022,227901,2022,Campus,TX,Austin,78703,2610 W 10th St,,,,,,N,30.28598,-97.773589,,,,,,,,,,,,,,,,Work,(512) 414-3229,,,,,,,,,,,,,O. Henry Middle,,,CAMPUS,O. Henry Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,48,2015,227901,2015,Campus,TX,Austin,78723,6401 N Hampton Dr,,,,,,N,30.313106,-97.68046,,,,,,,,,,,,,,,,Work,(512) 414-3234,,,,,,,,,,,,,Pearce Middle School,,,CAMPUS,Pearce Middle School,Y,,,,,,,,,,,,,,,,,,,,,,,
,06-Aug,49,2022,227901,2022,Campus,TX,Austin,78704,2206 Prather Ln,,,,,,Y,30.23567899,-97.788641,,,,,,,,,,,,,,,,Work,(512) 414-3236,,,,,,,,,,,,,Porter Middle School,,,CAMPUS,Porter Middle School,Y,,,,,,,,,,,,,,,,,,,,,,,
,06-Aug,51,2022,227901,2022,Campus,TX,Austin,78702,1601 Haskell St,,,,,,N,30.252694,-97.730149,,,,,,,,,,,,,,,,Work,(512) 414-3243,,,,,,,,,,,,,Martin Middle,,,CAMPUS,Martin Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,52,2022,227901,2022,Campus,TX,Austin,78731,3700 N Hills Dr,,,,,,N,30.354102,-97.758357,,,,,,,,,,,,,,,,Work,(512) 414-3254,,,,,,,,,,,,,Murchison Middle,,,CAMPUS,Murchison Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,53,2022,227901,2022,Campus,TX,Austin,78752,601 E Saint Johns Ave,,,,,,N,30.332413,-97.707407,,,,,,,,,,,,,,,,Work,(512) 414-3258,,,,,,,,,,,,,Webb Middle,,,CAMPUS,Webb Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,54,2022,227901,2022,Campus,TX,Austin,78745,6800 Bill Hughes Rd,,,,,,N,30.195095,-97.787326,,,,,,,,,,,,,,,,Work,(512) 414-3265,,,,,,,,,,,,,Bedichek Middle,,,CAMPUS,Bedichek Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,55,2022,227901,2022,Campus,TX,Austin,78753,1200 E Rundberg Ln,,,,,,N,30.354549,-97.679377,,,,,,,,,,,,,,,,Work,(512) 414-3270,,,,,,,,,,,,,Dobie Middle,,,CAMPUS,Dobie Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,56,2014,227901,2014,Campus,TX,Austin,78724,7414 Johnny Morris Rd,,,,,,N,30.310717,-97.643562,,,,,,,,,,,,,,,,Work,(512) 841-9400,,,,,,,,,,,,,Garcia Middle School,,,CAMPUS,Garcia Middle School,Y,,,,,,,,,,,,,,,,,,,,,,,
,06-Aug,57,2022,227901,2022,Campus,TX,Austin,78749,3700 Convict Hill Rd,,,,,,N,30.213128,-97.834595,,,,,,,,,,,,,,,,Work,(512) 414-3276,,,,,,,,,,,,,Covington Middle,,,CAMPUS,Covington Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,58,2022,227901,2022,Campus,TX,Austin,78744,5106 Village Square Dr,,,,,,N,30.189253,-97.743436,,,,,,,,,,,,,,,,Work,(512) 414-3284,,,,,,,,,,,,,Mendez Middle,,,CAMPUS,Mendez Middle,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,59,2022,227901,2022,Campus,TX,Austin,78739,4020 Lost Oasis Holw,,,,,,N,30.164987,-97.872164,,,,,,,,,,,,,,,,Work,(512) 414-4990,,,,,,,,,,,,,Bailey Middle,,,CAMPUS,Bailey Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,60,2022,227901,2022,Campus,TX,Austin,78749,4801 Monterey Oaks Blvd,,,,,,N,30.233029,-97.840972,,,,,,,,,,,,,,,,Work,(512) 841-6700,,,,,,,,,,,,,Small Middle,,,CAMPUS,Small Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,61,2022,227901,2022,Campus,TX,Austin,78748,10100 S Mary Moore Searight Dr,,,,,,N,30.173941,-97.807542,,,,,,,,,,,,,,,,Work,(512) 841-6800,,,,,,,,,,,,,Paredes Middle,,,CAMPUS,Paredes Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,62,2022,227901,2022,Campus,TX,Austin,78749,7412 W Slaughter Ln,,,,,,N,30.217581,-97.892458,,,,,,,,,,,,,,,,Work,(512) 841-8600,,,,,,,,,,,,,Gorzycki Middle,,,CAMPUS,Gorzycki Middle,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,64,2022,227901,2022,Campus,TX,Austin,78724,7414 Johnny Morris Rd,,,,,,N,30.310717,-97.643562,,,,,,,,,,,,,,,,Work,(512) 841-9400,,,,,,,,,,,,,Garcia YMLA,,,CAMPUS,Garcia YMLA,Y,,,N,,,,,,,,,,,,,,,,,,,,
,06-Aug,65,2022,227901,2022,Campus,TX,Austin,78723,6401 N Hampton Dr,,,,,,N,30.313106,-97.68046,,,,,,,,,,,,,,,,Work,(512) 414-3234,,,,,,,,,,,,,Sadler Means YWLA,,,CAMPUS,Sadler Means YWLA,Y,,,N,,,,,,,,,,,,,,,,,,,,
,EE-5,101,2022,227901,2022,Campus,TX,Austin,78741,515 Vargas Rd,,,,,,N,30.235879,-97.690822,,,,,,,,,,,,,,,,Work,(512) 414-2004,,,,,,,,,,,,,Allison Elementary,,,CAMPUS,Allison Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,102,2022,227901,2022,Campus,TX,Austin,78723,6801 Northeast Dr,,,,,,N,30.317553,-97.679663,,,,,,,,,,,,,,,,Work,(512) 414-1770,,,,,,,,,,,,,Andrews Elementary,,,CAMPUS,Andrews Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-6,103,2022,227901,2022,Campus,TX,Austin,78704,2108 Barton Hills Dr,,,,,,N,30.25509,-97.783074,,,,,,,,,,,,,,,,Work,(512) 414-2013,,,,,,,,,,,,,Barton Hills Elementary,,,CAMPUS,Barton Hills Elementary,N,,,N,,,,,,,,,,,,,,,,,,,,
,EE-5,104,2022,227901,2022,Campus,TX,Austin,78704,906 W Milton St,,,,,,N,30.2506,-97.75967,,,,,,,,,,,,,,,,Work,(512) 414-2019,,,,,,,,,,,,,Becker Elementary,,,CAMPUS,Becker Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,105,2022,227901,2022,Campus,TX,Austin,78702,1712 E 11th St,,,,,,N,30.267256,-97.722194,,,,,,,,,,,,,,,,Work,(512) 414-2021,,,,,,,,,,,,,Blackshear Elementary,,,CAMPUS,Blackshear Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,106,2022,227901,2022,Campus,TX,Austin,78723,5408 Westminster Dr,,,,,,N,30.306525,-97.690064,,,,,,,,,,,,,,,,Work,(512) 414-2026,,,,,,,,,,,,,Blanton Elementary,,,CAMPUS,Blanton Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,107,2022,227901,2022,Campus,TX,Austin,78757,6700 Arroyo Seco,,,,,,N,30.340004,-97.731763,,,,,,,,,,,,,,,,Work,(512) 414-2039,,,,,,,,,,,,,Brentwood Elementary,,,CAMPUS,Brentwood Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,109,2022,227901,2022,Campus,TX,Austin,78752,7801 Guadalupe St,,,,,,N,,,,,,,,,,,,,,,,,,Work,(512) 414-2047,,,,,,,,,,,,,Brown Elementary,,,CAMPUS,Brown Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,110,2022,227901,2022,Campus,TX,Austin,78703,3309 Kerbey Ln,,,,,,N,30.304869,-97.750627,,,,,,,,,,,,,,,,Work,(512) 414-2054,,,,,,,,,,,,,Bryker Woods Elementary,,,CAMPUS,Bryker Woods Elementary,N,,,N,,,,,,,,,,,,,,,,,,,,
,EE-5,111,2022,227901,2022,Campus,TX,Austin,78722,2613 Rogers Ave,,,,,,N,30.282291,-97.713342,,,,,,,,,,,,,,,,Work,(512) 841-8800,,,,,,,,,,,,,Campbell Elementary,,,CAMPUS,Campbell Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,112,2022,227901,2022,Campus,TX,Austin,78703,2710 Exposition Blvd,,,,,,N,30.303796,-97.764925,,,,,,,,,,,,,,,,Work,(512) 414-2062,,,,,,,,,,,,,Casis Elementary,,,CAMPUS,Casis Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,113,2022,227901,2022,Campus,TX,Austin,78745,2200 Berkeley Ave,,,,,,N,30.210476,-97.805811,,,,,,,,,,,,,,,,Work,(512) 414-2067,,,,,,,,,,,,,Cunningham Elementary,,,CAMPUS,Cunningham Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,114,2022,227901,2022,Campus,TX,Austin,78704,3001 S 1st St,,,,,,N,30.234063,-97.763364,,,,,,,,,,,,,,,,Work,(512) 414-2070,,,,,,,,,,,,,Dawson Elementary,,,CAMPUS,Dawson Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,PK-6,115,2022,227901,2022,Campus,TX,Austin,78704,906 W Milton St,,,,,,N,30.2506,-97.75967,,,,,,,,,,,,,,,,Work,(512) 414-2074,,,,,,,,,,,,,EDAEP,,,CAMPUS,EDAEP,N,,,,,,,,,,,,,,,,,,,,,,,
,EE-5,116,2022,227901,2022,Campus,TX,Austin,78702,3601 Govalle Ave,,,,,,N,30.263261,-97.698558,,,,,,,,,,,,,,,,Work,(512) 414-2078,,,,,,,,,,,,,Govalle Elementary,,,CAMPUS,Govalle Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,117,2022,227901,2022,Campus,TX,Austin,78757,6310 Treadwell Blvd,,,,,,N,30.343558,-97.748693,,,,,,,,,,,,,,,,Work,(512) 414-2082,,,,,,,,,,,,,Gullett Elementary,,,CAMPUS,Gullett Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,118,2022,227901,2022,Campus,TX,Austin,78723,1711 Wheless Ln,,,,,,N,30.314548,-97.691219,,,,,,,,,,,,,,,,Work,(512) 414-2085,,,,,,,,,,,,,Harris Elementary,,,CAMPUS,Harris Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,119,2022,227901,2022,Campus,TX,Austin,78731,4900 Fairview Dr,,,,,,N,30.330412,-97.760209,,,,,,,,,,,,,,,,Work,(512) 414-2090,,,,,,,,,,,,,Highland Park Elementary,,,CAMPUS,Highland Park Elementary,N,,,N,,,,,,,,,,,,,,,,,,,,
,EE-6,121,2022,227901,2022,Campus,TX,Austin,78705,3308 Hampton Rd,,,,,,N,30.293535,-97.727807,,,,,,,,,,,,,,,,Work,(512) 414-2098,,,,,,,,,,,,,Lee Elementary,,,CAMPUS,Lee Elementary,N,,,,,,,,,,,,,,,,,,,,,,,
,EE-5,122,2022,227901,2022,Campus,TX,Austin,78722,3808 Maplewood Ave,,,,,,N,30.293337,-97.714901,,,,,,,,,,,,,,,,Work,(512) 414-4402,,,,,,,,,,,,,Maplewood Elementary,,,CAMPUS,Maplewood Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-6,123,2022,227901,2022,Campus,TX,Austin,78703,906 W Lynn St,,,,,,N,30.278216,-97.760795,,,,,,,,,,,,,,,,Work,(512) 414-4406,,,,,,,,,,,,,Mathews Elementary,,,CAMPUS,Mathews Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,124,2022,227901,2022,Campus,TX,Austin,78702,84 Robert T Martinez Jr St,,,,,,N,30.254569,-97.722017,,,,,,,,,,,,,,,,Work,(512) 414-4408,,,,,,,,,,,,,Metz Elementary,,,CAMPUS,Metz Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,125,2022,227901,2022,Campus,TX,Austin,78702,3601 Webberville Rd,,,,,,N,30.271751,-97.703905,,,,,,,,,,,,,,,,Work,(512) 414-4413,,,,,,,,,,,,,Oak Springs Elementary,,,CAMPUS,Oak Springs Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,126,2022,227901,2022,Campus,TX,Austin,78721,1135 Garland Ave,,,,,,N,30.269893,-97.684597,,,,,,,,,,,,,,,,Work,(512) 414-4417,,,,,,,,,,,,,Ortega Elementary,,,CAMPUS,Ortega Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,127,2022,227901,2022,Campus,TX,Austin,78702,73 San Marcos St,,,,,,N,30.257564,-97.73483,,,,,,,,,,,,,,,,Work,(512) 414-4423,,,,,,,,,,,,,Sanchez Elementary,,,CAMPUS,Sanchez Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,129,2022,227901,2022,Campus,TX,Austin,78723,3100 Rogge Ln,,,,,,N,30.30317,-97.676195,,,,,,,,,,,,,,,,Work,(512) 414-4445,,,,,,,,,,,,,Pecan Springs Elementary,,,CAMPUS,Pecan Springs Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,130,2022,227901,2022,Campus,TX,Austin,78745,6405 Circle S Rd,,,,,,N,30.196079,-97.775643,,,,,,,,,,,,,,,,Work,(512) 414-4453,,,,,,,,,,,,,Pleasant Hill Elementary,,,CAMPUS,Pleasant Hill Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
